close_time,utc,price,balance,equity,unrealized_pnl,open_position,note
1789762499999,2026-09-18T20:14:59.999000+00:00,81078.01,100.0,100.0,0.0,,initialized_no_historical_replay
1789771499999,2026-09-18T22:44:59.999000+00:00,81124.0,100.0,100.0,0.0,,
1789777799999,2026-09-19T00:29:59.999000+00:00,81100.0,100.0,99.95301329117358,-0.04698670882642503,long,
1789793999999,2026-09-19T04:59:59.999000+00:00,81024.0,100.66502137142567,100.66502137142567,0.0,,
1789810199999,2026-09-19T09:29:59.999000+00:00,81410.0,100.66502137142567,100.4949318788811,-0.17008949254455968,short,
1789823699999,2026-09-19T13:14:59.999000+00:00,81238.54,100.66502137142567,100.706880073761,0.04185870233533044,short,
1789836299999,2026-09-19T16:44:59.999000+00:00,81861.08,100.24075721522078,100.24075721522078,0.0,,
1789838099999,2026-09-19T17:14:59.999000+00:00,81716.0,100.24075721522078,100.24075721522078,0.0,,
1789844399999,2026-09-19T18:59:59.999000+00:00,81428.07,100.24075721522078,100.24075721522078,0.0,,
1789852499999,2026-09-19T21:14:59.999000+00:00,81000.0,100.24075721522078,100.24075721522078,0.0,,
1789859699999,2026-09-19T23:14:59.999000+00:00,81281.02,100.24075721522078,100.24075721522078,0.0,,
1789867799999,2026-09-20T01:29:59.999000+00:00,81122.0,100.24075721522078,100.24075721522078,0.0,,
1789886699999,2026-09-20T06:44:59.999000+00:00,80379.06,100.24075721522078,100.24075721522078,0.0,,
1789905599999,2026-09-20T11:59:59.999000+00:00,80493.2,100.24075721522078,100.24075721522078,0.0,,
1789920899999,2026-09-20T16:14:59.999000+00:00,81160.08,99.7279450615828,99.7279450615828,0.0,,
1789929899999,2026-09-20T18:44:59.999000+00:00,81218.05,99.7279450615828,99.7279450615828,0.0,,
1789938899999,2026-09-20T21:14:59.999000+00:00,80769.55,99.7279450615828,99.7279450615828,0.0,,
1789946099999,2026-09-20T23:14:59.999000+00:00,81157.52,99.7279450615828,99.7279450615828,0.0,,
1789954199999,2026-09-21T01:29:59.999000+00:00,81584.0,99.7279450615828,99.7279450615828,0.0,,
1789973999999,2026-09-21T06:59:59.999000+00:00,81639.9,99.7279450615828,99.7279450615828,0.0,,
