date,symbol,entry_date,entry_price,weighted_avg_price,qty,latest_close,latest_price_date,capital_in_trade,average_add_count,average_added_notional,unrealized_net_pnl_est,return_pct_est
2026-09-25,AVANTIFEED,2026-09-25,753.15,753.15,39,753.15,2026-09-25,29407.73,0,0.0,-80.69,-0.2744
2026-09-25,SUPREME,2026-09-25,31.39,31.39,954,31.39,2026-09-25,29981.62,0,0.0,-81.97,-0.2734
2026-09-25,ACL,2026-09-25,42.63,42.63,702,42.63,2026-09-25,29961.8,0,0.0,-81.93,-0.2734
2026-09-25,RTNPOWER,2026-09-25,7.0,7.0,4280,7.0,2026-09-25,29995.57,0,0.0,-81.99,-0.2733
2026-09-25,ASALCBR,2026-09-25,644.95,644.95,46,644.95,2026-09-25,29702.93,0,0.0,-81.35,-0.2739
2026-09-25,HDIL,2026-09-25,1.45,1.45,20665,1.45,2026-09-25,29999.82,0,0.0,-81.99,-0.2733
2026-09-25,RAJVIR,2026-09-25,5.21,5.21,5751,5.21,2026-09-25,29998.28,0,0.0,-81.99,-0.2733
2026-09-25,AGIIL,2026-09-25,264.55,264.55,113,264.55,2026-09-25,29929.64,0,0.0,-81.84,-0.2734
2026-09-25,FCONSUMER,2026-09-25,0.22,0.22,136201,0.22,2026-09-25,29999.79,0,0.0,-81.99,-0.2733
2026-09-25,DIL,2026-09-25,0.65,0.65,46099,0.65,2026-09-25,29999.92,0,0.0,-81.99,-0.2733
2026-09-25,NAGAFERT,2026-09-25,1.77,1.77,16929,1.77,2026-09-25,29999.9,0,0.0,-81.99,-0.2733
